"BIB_DOC","CTRL_FIELDS","CIS_BIBS","OCLC_BIBS"
24444891,2,1,1
24196455,2,1,1
24147577,2,1,1
24149268,2,1,1
23798983,3,1,1
23648111,3,1,1
24347381,2,1,1
23949352,2,1,1
24196664,2,1,1
24445900,2,1,1
25174678,2,1,1
24123094,2,1,1
25174342,2,1,1
24950540,2,1,1
24198851,4,1,1
25001430,2,1,1
24126740,2,1,1
23786144,3,1,1
24125869,2,1,1
24951920,2,1,1
24586653,2,1,1
24132013,2,1,1
25100323,2,1,1
25447857,2,1,1
25447572,2,1,1
23748278,3,1,1
24587077,2,1,1
25651670,2,1,1
25650981,2,1,1
25600615,2,1,1
25650083,2,1,1
25651524,2,1,1
25251957,2,1,1
25750097,2,1,1
25750073,2,1,1
25005816,2,1,1
25802732,2,1,1
25604782,2,1,1
25504594,2,1,1
25752350,2,1,1
25156963,2,1,1
25057402,2,1,1
25008386,2,1,1
25008466,2,1,1
25107769,2,1,1
24259061,2,1,1
25060027,2,1,1
25009753,2,1,1
25608862,2,1,1
24187603,2,1,1
26234800,2,1,1
24202364,2,1,1
25758149,2,1,1
25608780,2,1,1
25560100,2,1,1
25758049,2,1,1
24198160,3,1,1
24198628,4,1,1
25108941,2,1,1
26266220,2,1,1
25055236,2,1,1
25508540,2,1,1
25508627,2,1,1
25360377,2,1,1
24069484,2,1,1
25608582,2,1,1
25201961,2,1,1
25110840,2,1,1
25110809,2,1,1
25010272,2,1,1
25509224,2,1,1
24211947,2,1,1
25052670,2,1,1
25579175,2,1,1
26278821,2,1,1
26280745,2,1,1
25561402,2,1,1
25561701,2,1,1
25562157,2,1,1
25561745,2,1,1
25610455,2,1,1
24218940,4,1,1
25511782,2,1,1
25596295,2,1,1
23781427,4,1,1
25759359,2,1,1
25612645,2,1,1
25638509,2,1,1
25511995,2,1,1
25215360,2,1,1
24222507,3,1,1
24966213,2,1,1
25215107,2,1,1
24224805,4,1,1
25714511,2,1,1
25614189,2,1,1
24220227,4,1,1
25677786,2,1,1
24225105,3,1,1
25615989,2,1,1
25690135,2,1,1
24225483,4,1,1
24225493,2,1,1
25810102,2,1,1
25217576,2,1,1
25714866,2,1,1
26274723,2,1,1
24076377,2,1,1
24225460,4,1,1
24225549,2,1,1
25716814,2,1,1
25765932,2,1,1
25368201,2,1,1
25728765,2,1,1
25419859,2,1,1
24239803,2,1,1
25518070,2,1,1
25517663,2,1,1
25114069,2,1,1
25018714,2,1,1
25093446,2,1,1
25114330,2,1,1
25114746,2,1,1
25743792,2,1,1
25618951,2,1,1
25617913,2,1,1
25369599,2,1,1
24971954,2,1,1
25668980,2,1,1
25527882,2,1,1
24971681,2,1,1
25669994,2,1,1
25768388,2,1,1
25072723,2,1,1
25783862,2,1,1
25783831,2,1,1
26230452,2,1,1
25802929,2,1,1
25769036,2,1,1
26238102,2,1,1
25074960,2,1,1
25523407,2,1,1
25223536,2,1,1
25075021,2,1,1
25176179,2,1,1
25074869,2,1,1
25652694,2,1,1
26231560,4,2,2
25177883,2,1,1
25656267,2,1,1
25674029,2,1,1
23742535,3,1,1
25658522,2,1,1
24760445,2,1,1
25575635,2,1,1
24976367,2,1,1
24976688,2,1,1
25662799,2,1,1
24976954,2,1,1
25027945,2,1,1
25577176,2,1,1
25576954,2,1,1
25724599,2,1,1
25027352,2,1,1
25428318,2,1,1
25182053,2,1,1
25776464,2,1,1
24287844,2,1,1
24279446,4,1,1
24287282,2,1,1
25678725,2,1,1
25775835,2,1,1
25181995,2,1,1
25182173,2,1,1
25680490,2,1,1
25681375,2,1,1
26231698,2,1,1
25685203,2,1,1
25628478,2,1,1
25683945,2,1,1
25081650,2,1,1
26245274,2,1,1
25431944,2,1,1
25688793,2,1,1
24290957,2,1,1
25530263,2,1,1
25183019,2,1,1
25629681,2,1,1
24232542,2,1,1
25677025,2,1,1
25085297,2,1,1
25716195,2,1,1
25766904,2,1,1
25030205,2,1,1
24683545,4,2,2
25233314,2,1,1
24885650,2,1,1
25782497,2,1,1
25136104,2,1,1
24307189,2,1,1
24937911,2,1,1
24210628,3,1,1
25187907,2,1,1
24689403,2,1,1
25136533,2,1,1
25137787,2,1,1
25778896,2,1,1
25036899,2,1,1
25088799,2,1,1
25238237,2,1,1
25744205,2,1,1
25038241,2,1,1
25742248,2,1,1
25736741,2,1,1
25537978,2,1,1
25538245,2,1,1
25328592,2,1,1
25737610,2,1,1
24392817,2,1,1
25439639,2,1,1
25240759,2,1,1
25191190,2,1,1
25141727,2,1,1
24943694,2,1,1
25092044,2,1,1
25444691,2,1,1
25761918,2,1,1
25245413,2,1,1
24376692,2,1,1
25495297,2,1,1
25712425,2,1,1
25343996,2,1,1
25344057,2,1,1
25495686,2,1,1
25494912,2,1,1
25643870,2,1,1
25495327,2,1,1
25793376,2,1,1
24386374,2,1,1
24140994,2,1,1
25294967,2,1,1
24960787,2,1,1
25199843,2,1,1
25059243,2,1,1
25540818,2,1,1
25147624,2,1,1
24391290,2,1,1
25758891,2,1,1
24946942,2,1,1
25644146,2,1,1
25546621,2,1,1
24502409,2,1,1
25605127,2,1,1
25296591,2,1,1
24402479,2,1,1
25696534,2,1,1
25346312,2,1,1
25346911,2,1,1
25747645,2,1,1
25740318,2,1,1
25740780,2,1,1
25047468,2,1,1
25248952,2,1,1
24949486,2,1,1
24416165,2,1,1
25099079,2,1,1
25598808,2,1,1
26240559,2,1,1
26244670,2,1,1
26247761,2,1,1
24994661,2,1,1
25050007,2,1,1
24993246,2,1,1
25694270,2,1,1
24430298,2,1,1
24430940,2,1,1
24431690,2,1,1
24083684,4,2,2
25590558,2,1,1
25590129,2,1,1
25143862,2,1,1
24434805,2,1,1
24435104,2,1,1
24435962,2,1,1
24235352,2,1,1
23975500,2,1,1
24135819,2,1,1
25774783,2,1,1
25321107,2,1,1
24975923,2,1,1
23957065,2,1,1
23748928,4,1,1
25603362,2,1,1
23960669,2,1,1
23962317,2,1,1
24452768,2,1,1
24428655,2,1,1
23750294,4,1,1
23899186,2,1,1
26234236,2,1,1
25611416,2,1,1
25205470,2,1,1
26276310,2,1,1
24134253,2,1,1
26280074,2,1,1
26282062,2,1,1
24014631,2,1,1
24159994,2,1,1
26284522,2,1,1
25693476,2,1,1
26284972,2,1,1
24006034,2,1,1
26273849,2,1,1
23786315,4,1,1
23786749,3,1,1
24211180,2,1,1
23788000,4,1,1
24325700,2,1,1
26288947,2,1,1
23787956,4,1,1
26288877,2,1,1
26289460,2,1,1
23790389,4,1,1
23790533,4,1,1
23790281,4,1,1
25097581,2,1,1
24105292,2,1,1
23798767,4,1,1
25798501,2,1,1
23792280,3,1,1
26240016,2,1,1
24999555,2,1,1
26241858,2,1,1
26292337,2,1,1
25595766,2,1,1
24195278,2,1,1
24189127,2,1,1
24291818,2,1,1
23800952,3,1,1
23931479,2,1,1
24750342,2,1,1
26247745,2,1,1
25812370,2,1,1
25536036,2,1,1
24099001,2,1,1
24214198,2,1,1
23862538,2,1,1
24152187,2,1,1
24449822,2,1,1
23912207,2,1,1
26232850,2,1,1
24590580,2,1,1
27311355,4,2,2
26236005,2,1,1
25668580,2,1,1
26235761,2,1,1
25074737,2,1,1
23962269,2,1,1
24778790,2,1,1
24344510,2,1,1
24342476,2,1,1
24389722,2,1,1
25246550,2,1,1
24076894,2,1,1
24201431,2,1,1
24941553,2,1,1
25162328,2,1,1
25632776,2,1,1
26261544,2,1,1
26234077,2,1,1
24289496,2,1,1
25556768,2,1,1
25270709,2,1,1
26252821,2,1,1
24979654,2,1,1
23793556,4,1,1
25346798,2,1,1
23950511,2,1,1
23959086,2,1,1
23855461,2,1,1
25663804,2,1,1
25663574,2,1,1
25646425,2,1,1
24134614,2,1,1
24471068,2,1,1
24463091,2,1,1
25186395,2,1,1
26243096,2,1,1
25701956,2,1,1
26279034,2,1,1
25752615,2,1,1
26273722,2,1,1
25752741,2,1,1
25782249,2,1,1
25668334,2,1,1
25715936,2,1,1
25156433,2,1,1
24420856,2,1,1
24081351,2,1,1
25532161,2,1,1
25084669,2,1,1
24955982,2,1,1
24213701,2,1,1
24161764,2,1,1
24220068,2,1,1
24578497,2,1,1
24022768,2,1,1
23924449,2,1,1
25781841,2,1,1
24201069,2,1,1
24328652,2,1,1
24084092,2,1,1
24943531,2,1,1
25648024,2,1,1
26291642,2,1,1
24083740,2,1,1
25745081,2,1,1
24141157,2,1,1
24156935,2,1,1
24255132,2,1,1
24254105,2,1,1
24160914,2,1,1
24254244,2,1,1
24228641,2,1,1
24164965,2,1,1
25626715,2,1,1
24038777,2,1,1
24552560,2,1,1
24441177,2,1,1
24800697,4,2,2
25063873,2,1,1
24209267,2,1,1
24186437,4,1,1
24197448,3,1,1
25579037,2,1,1
23891379,2,1,1
24468811,2,1,1
25648701,2,1,1
24214703,3,1,1
24474769,2,1,1
25161660,2,1,1
25751222,2,1,1
21898712,8,2,2
24418172,2,1,1
24254385,2,1,1
24280912,4,1,1
24275889,2,1,1
23893044,2,1,1
23754427,3,1,1
25129169,2,1,1
25048039,2,1,1
25637908,2,1,1
25604335,2,1,1
24314184,2,1,1
25766015,2,1,1
23961705,2,1,1
26253962,2,1,1
24125854,2,1,1
24756102,4,2,2
24774103,4,2,2
24409852,2,1,1
25009710,2,1,1
24615597,4,2,2
24232440,2,1,1
24363796,2,1,1
25691776,2,1,1
24836711,4,2,2
28211673,2,1,1
24098988,2,1,1
24100271,2,1,1
24716109,4,2,2
24160861,2,1,1
24111990,2,1,1
23785692,3,1,1
24232635,2,1,1
24351610,2,1,1
24351099,2,1,1
24353542,2,1,1
25037569,2,1,1
24839348,4,2,2
25038635,2,1,1
25038929,2,1,1
25038803,2,1,1
24138242,2,1,1
